thumbnail_image_url,title,theatre_name,description,duration_in_seconds,id
avva_voyage.jpg,ABBA Voyage,ABBA Arena,"<h2>ABBA Voyage Information</h2><div><div><div></div><div><section><p>Journey through the music of ABBA and attend this unique concert experience at the ABBA Arena. Book <em>ABBA Voyage</em> tickets on London Theatre now.</p><p>Original ABBA members Agnetha Fältskog, Björn Ulvaeus, Benny Andersson, and Anni-Frid Lyngstad take the stage in the form of avatars in this mesmerising feat of technology. Dance the night away to a selection of ABBA’s most iconic tunes, including “Dancing Queen,” “Mamma Mia,” and “The Winner Takes It All.” A 10-piece live band elevates the experience, performing alongside the holograms on stage.</p><p>ABBA made an unforgettable mark on the global music scene when they triumphed at the 1974 Eurovision Song Contest with their hit single “Waterloo.” Since then, they've established themselves as one of the most successful pop groups in history.</p><p>Using motion capture technology, a team of visual effects artists captured ABBA's performances over five weeks using 160 cameras. “the end result is sublime, defining the phrase ‘needs to be seen to be believed.’” Audiences will be amazed by the realistic holograms of ABBA in this spectacle concert experience.</p><p>Baillie Walsh (<em>Springsteen &amp; I</em>) directs <em>ABBA Voyage</em> with visual effects by Industrial Light &amp; Magic, known for their work with LucasFilm and the Marvel Cinematic Universe. The creative team also includes choreographer Wayne McGregor and lighting designer Matthieu Debay.</p><h3>Where is <em>ABBA Voyage</em>?</h3><p><em>ABBA Voyage</em> is a one-of-a-kind concert experience that takes place in the ABBA Arena located at Queen Elizabeth Olympic Park in London, close to Stratford train station.</p><p>This purpose-built arena provides the ideal setting for the concert, with its distinctive shape offering audience members a fully immersive experience. ABBA Voyage is poised to remain in London for the foreseeable future, allowing you to enjoy the concert as often as you'd like. Performances are scheduled seven times a week on Monday, Thursday, Friday, Saturday, and Sunday.</p><h3>What are the songs in <em>ABBA Voyage</em>?</h3><p><em>ABBA Voyage</em> includes twenty of ABBA’s most iconic songs in one electrifying evening. Experience hits like “Fernando” and “Voulez-Vous,” as well as new songs from their most recently released album, “Voyage.” </p><p><strong>Dance Floor Tickets</strong></p><p>Get closer to the action with our Dance Floor tickets. These tickets are for standing (or dancing) only, so you’ll be closer to the stage than anyone else and free to dance anywhere within the area.</p><p><strong>Please note</strong>: The concert involves the use of extensive flashing lights, kinetic lighting, lasers and strobing light effects.</p><p>Tickets to <em>ABBA Voyage</em> in London are available now. Book <em>ABBA Voyage</em> tickets on London Theatre today.</p></section></div></div></div>",14400,1
mama_mia.jpg,Mamma Mia!,Novello Theatre,"<h2>Mamma Mia! Information</h2><div><div><div></div><div><section><p>Somewhere in the crowd, there’s you. The international hit musical continues to delight audiences, and now you can be the dancing queen. <em>Mamma Mia!</em> tickets are available on London Theatre now.</p><p>This irresistibly funny ABBA musical comedy follows an original story of love, friendship and the search for identity accompanied by a score of some of the most recognisable and uplifting pop music ever written.</p><p>Set on a Greek island paradise, the <em>Mamma Mia!</em> musical tells the story of the newly engaged Sophie who is determined to find out the identity of her father and invite them to her wedding. Without telling her mother Donna, she writes to the three possible candidates and they all arrive just in time to see her walk down the aisle. The only question is, which one of the three very different men is it?</p><p>It took a long time for <em>Mamma Mia!</em> to come to life. Producer Judy Craymer spent a decade convincing Benny Anderson and Björn Ulvaeus to use their songs in a musical. Eventually, they were won over and <em>Mamma Mia!</em> was born. The original London production features an incredibly talented cast of performers and musicians who bring this colourful and exciting story to life.</p><p>Fans of the 2008 movie musical will also be delighted to see the show in its original form, so escape to this idyllic island paradise and enjoy the West End's greatest party. As one of the world's most successful and recognisable musical titles, it leaves audiences on their feet night after night.</p><h3>Are <em>Mamma Mia!</em> songs original?</h3><p>There's a host of hit ABBA songs including “Money Money Money,” “Take a Chance on Me,', “Does Your Mother Know,” and “The Winner Takes it All.' There's also a few songs in the musical that don’t feature in the <em>Mamma Mia!</em> film, including 'Under Attack' and 'I Do I Do I Do I Do I Do.' </p><p>Tickets to <em>Mamma Mia!</em> are available now. Book your <em>Mamma Mia!</em> tickets on London Theatre today.</p></section></div></div></div>",7200,2
mama_mia_party.jpeg,Mamma Mia! The Party,The O2,"<h2>Mamma Mia! The Party Information</h2><div><div><div></div><div><section><p>What are you waiting for? Book your table and discover Björn Ulvaeus’ production of <em>Mamma Mia! The Party,</em> now playing at The O2, London. <em>Mamma Mia! The Party</em> tickets are available on London Theatre now.</p><p>Feel transported to the island of Skopelos to dance, dine and have the time of your life! As the sun sets, you'll take your seats at Nikos’ family-run taverna where you'll enjoy a delicious four-course Greek meal before dancing the night away at a glittering ABBA disco.</p><p>Leave your cares at the door and be welcomed as honoured guests by Nikos and his family. Step into Skopelos as you discover a warm, romantic, and funny story performed all around you.</p><p>Experience all this alongside a live soundtrack brimming with your favourite ABBA hits including 'Mamma Mia!,' 'Dancing Queen,' 'Does Your Mother Know,' 'Waterloo,' 'SOS,' 'When I Kissed the Teacher,' and more. Plan your getaway with family and friends to <em>Mamma Mia! The Party</em> for the ultimate Greek holiday experience to remember.</p><p>Tickets to <em>Mamma Mia! The Party</em> are available now. Book your <em>Mamma Mia! The Party</em> tickets on London Theatre today.</p><h2><em>Mamma Mia! The Party</em> food</h2><p><strong>MEZZE</strong></p><p>To get you going, the table will be served with a traditional Greek mezze of breads, dips and olives.</p><p><strong>STARTERS</strong></p><p>The iconic Greek salad with fresh cherry tomatoes, cucumber, feta cheese and onions all drizzled with olive oil and garnished with torn basil leaves. For vegan guests, the Greek salad comes with vegan feta.</p><p><strong>MAINS</strong></p><p>Confit lamb shoulder and slow cooked beef served with roasted garlic potatoes, courgettes peperonata, romesco and aromatic jus</p><p>For our vegetarian and vegan guests, we present roasted cauliflower with a lemon-herb dressing and stuffed tomato with lentil ragout.</p><p><strong>DESSERTS</strong></p><p>A sumptuous Greek lemon cake served with confit orange skin and citrus yoghurt.</p><p>For our vegan guests, we will be serving loukoumades, delicious dough balls accompanied by a sweet fig jam.</p><p>The kitchens are extremely busy and contain allergens as standard. Where possible, the venue will cater to individual dietary requirements but must be informed at least 48hrs prior to attendance. Please check your confirmation email for full details.</p><h2><em>Mamma Mia! The Party</em> seating</h2><p><strong>Tier A</strong></p><p>Savour the magic of Skopelos while seated in the lower-terraces and courtyard. Each guest will receive a welcome drink, a delicious four-course Greek meal, full access to the <em>Mamma Mia! The Party</em> show, and an invite to enjoy an ABBA disco after the show.</p><p><strong>Tier B</strong></p><p>Enjoy the beauty of your surroundings from the upper terrace and balconies. Each guest will receive a welcome drink, a delicious four-course Greek meal, full access to the <em>Mamma Mia! The Party</em> show, and an invite to enjoy an ABBA disco after the show.</p></section></div></div></div>",10800,3
lion_king.jpg,The Lion King ,Lyceum Theatre,"<h2>The Lion King Information</h2><div><div><div></div><div><section><p>Witness the circle of life in Disney’s long-running and multi-award-winning musical at the Lyceum Theatre. <em>The Lion King</em> tickets are available on London Theatre now.</p><p>After the 1994 <em>The Lion King</em> film, the show became one of the most successful piece of entertainment in history. Director and designer Julie Taymor crafts a colourful, imaginative and highly creative world that brings the flora, fauna and animals of Africa to life, set against a timeless score by Elton John and Tim Rice, with songs like “Can You Feel the Love Tonight.”</p><p><em>The Lion King</em> songs incorporate six different African languages: Swahili, Zulu, Xhosa, Sotho, Tswana, and Congolese, into the lyrics. The first line of “Circle of Life” says “Nants ingonyama bagithi baba”, translating to There’s a lion, father. Lebo M, Julie Taymor, Mark Mancina and Hans Zimmer provide original songs.</p><p>Over 200 puppets bring the majesty of the Serengeti Plains and the evocative rhythms of Africa to life. <em>The Lion King</em> musical is unlike anything ever before seen in musical theatre, and will redefine your expectations of what theatre can be. <em>The Lion King</em> London continues at the Lyceum Theatre.</p><h3>What’s <em>The Lion King</em> about?</h3><p><em>The Lion King</em> is about a young lion cub named Simba. He’s the prince and heir of Pride Rock. During the musical, Simba goes on a life-changing journey through the Pride Lands, but must defeat Mufasa’s brother Scar who dreams of ascending to the throne. Can Simba face the world and roar louder than ever before?</p><p>Tickets to <em>The Lion King</em> are available now. Book your <em>The Lion King</em> tickets on London Theatre today.</p></section></div></div></div>",3600,4
frozen.jpg,Frozen the Musical,Theatre Royal Drury Lane,"<h2>Frozen the Musical Information</h2><div><div><div></div><div><section><p>Let the storm rage on! <em>Frozen</em> transports audiences to the icy world of Arendelle via . <em>Frozen</em> tickets are available on London Theatre now.</p><p><em>Frozen</em> was first released in cinemas in winter 2013, and quickly became a global phenomenon. Not only is <em>Frozen</em> the highest-grossing animated film of all time, the film won 37 awards, including two Academy Awards for Best Animated Feature and Best Original Song for Elsa’s show-stealing number “Let It Go”.</p><p>The <em>Frozen</em> story is based on Hans Christian Andersen's <em>The Snow Queen.</em> The original Disney <em>Frozen</em> film is now a musical, and it's packed with more songs, storytelling, and plenty of snowflakes.</p><p>See the wintry tale of sisters Elsa and Anna come to life in the <em>Frozen</em> musical, complete with songs written by husband and wife duo Robert Lopez and Kristen Anderson-Lopez. Enjoy the film classics such as “Do You Want To Build a Snowman?”, “The First Time in Forever” and “Let it Go”. There’s also new songs written for <em>Frozen</em> on stage, including “Hygge” and “Colder By the Minute”.</p><h3>What is <em>Frozen</em> about?</h3><p>The <em>Frozen</em> musical is set in the fictional kingdom of Arendelle. Audiences meet sisters Elsa and Anna before Elsa’s coronation day. Elsa possesses an ability to make anything she touches turn to ice and freeze, and she’s managed to hide this. Now she’s crowned queen, Elsa is fearful of her own magic powers.</p><p>Concerned with her abilities, Elsa runs away from the kingdom, resulting in Anna setting off to find Elsa in her newly-built castle. Along the way, Anna meets Kristoff and his reindeer Sven, as well as Olaf, a lovable snowman.</p><h3>How long is <em>Frozen</em>?</h3><p>The <em>Frozen</em> musical runs for 2 hours and 15 minutes, including a 15-minute interval. Matinee performances begin at 1:00pm or 2:00pm and evening performances begin at 5:30pm or 7:00pm.</p><p>Tickets to <em>Frozen</em> are available now. Book your <em>Frozen</em> tickets on London Theatre today.</p></section></div></div></div>",5400,5
wicked.jpg,Wicked,Apollo Victoria Theatre,"<h2>Wicked Information</h2><div><div><div></div><div><section><p>Fall under Elphaba’s spell and witness theatre magic at the Apollo Victoria Theatre. <em>Wicked</em> tickets are available on London Theatre now.</p><p>The <em>Wicked</em> musical lifts the curtain on one of the most popular stories ever, transporting audiences to a world before <em>The Wizard of Oz</em>. Witness thrilling technical wizardry, dazzling costumes, show-stopping songs, and witty nods to L. Frank Baum’s story, all wrapped into a simply unforgettable story.</p><p>Even though it's one of the longest-running London musicals, <em>Wicked</em> continues to redefine modern musical theatre for an entire generation, and challenge our preconceptions of good and evil. There's something for everyone in the show, with : '<em>Wicked</em> leaves the audience with food for thought and also, wanting more. It’s no wonder that the musical has captured the hearts of so many over the years and will continue to do so for many years to come. <em>Wicked</em> is certainly here to stay in the West End for good.'</p><h3>What is <em>Wicked the Musical</em> about?</h3><p>What happened before Dorothy uttered that famous question 'there's no place like home'? Meet Elphaba and Glinda. One's a green-skinned witch, the other's a preppy student who typically gets what she wants. The unlikely friendship of Elphaba and Glinda at Shiz University leads to a powerful tale of love, acceptance, and friendship that will speak to audiences of all ages and delight those familiar with the original wonderful story.</p><h3>Who wrote the music for <em>Wicked</em>?</h3><p>The musical features a score by multi-Grammy and Academy Award winner Stephen Schwartz. Stephen Schwartz created music for shows such as <em>Wicked,</em> <em>Pippin,</em> <em>Godspell</em> and <em>The Prince of Egypt.</em> </p><p>Tickets to <em>Wicked</em> are available now. Book your <em>Wicked</em> tickets on London Theatre today.</p></section></div></div></div>",15120,6
mormon.jpg,The Book of Mormon,Prince of Wales Theatre,"<h2>The Book of Mormon Information</h2><div><div><div></div><div><section><p>Say hello to the Mormons and become an all-American prophet at this raucous comedy musical. <em>The Book of Mormon</em> tickets are available on London Theatre now.</p><p>While <em>The Book of Mormon</em> satirises the Christian denomination, it accurately shines a light on Mormon ideas and practices. It’s common for young men to serve a two year mission and spread their faith worldwide — just like Elder Price and Elder Cunningham. Song lyrics also reference the religion, like “Sal Tlay Ka Siti,” titled to emulate Salt Lake City, considered to be the American home of Mormonism.</p><p><em>South Park</em> creators Trey Parker and Matt Stone teamed up with Robert Lopez to co-write <em>The Book of Mormon.</em> Development began in 2003 when Parker and Stone were noticed by Lopez in the audience of a performance of <em>Avenue Q</em>. They went for drinks and quickly conceived the idea of writing a musical based around Joseph Smith, the founder of the Church of Latter Day Saints.</p><p>After winning nine Tony Awards on Broadway, <em>The Book of Mormon</em> opened in the West End at the Prince of Wales Theatre since 2013. It arrived in London to instant success, winning four Olivier Awards including Best New Musical. </p><h3>What is <em>The Book of Mormon</em> musical about?</h3><p>Follows the journey of two missionaries who dream of serving in Orlando, only to be told they must serve in Uganda. While in Africa, they share their scriptures with the local community. The locals don’t care about what they have to say: AIDS, famine, and warlords pose a greater threat. Join Elder Price and Elder Cunningham as they spread the gospel and attempt to make every day a latter-day.</p><p>Tickets to <em>The Book of Mormon</em> are available now. Book your <em>The Book of Mormon</em> tickets on London Theatre today.</p></section></div></div></div>",16740,7
bttf_poster.jpg,Back to the Future: The Musical,Adelphi Theatre,"<h2>Back to the Future: The Musical Information</h2><div><div><div></div><div><section><p>Grab your skateboard. Stock up on plutonium. Turn the ignition on your DeLorean. <em>Back to the Future: The Musical</em> tickets are available on London Theatre now.</p><p>Based on the iconic 1985 film starring Michael J. Fox and Christopher Lloyd, <em>Back to the Future The Musical</em> brings the beloved movie to the stage. Expect 1.21 gigawatts of music with the film’s popular hits like “The Power of Love' and “Johnny B. Goode,” as well as new songs like “This One’s for the Dreamers.”</p><p>It’s 1985. Marty McFly just wants to ride around town on his skateboard. When his friend and experimental scientist Dr. Emmett Brown reveals his latest invention, a time-travelling DeLorean, Marty finds himself caught in a high-speed chase that accidentally lands him back in 1955.</p><p>Once he’s there, he meets his high school-aged parents, but his meddling with time begins to threaten his own existence. Marty finds Doc Brown and together, they bend the rules of time to save each other. Can they reach 88 miles per hour?</p><p>Tim Lutkin’s futuristic lighting design, Chris Fisher’s state-of-the-art illusions and Finn Ross’s video design add to the stage magic. Watch Doc Brown climb up the clock tower in the thrilling final moments. If you’re lucky, you may even see the DeLorean in action. Don't miss <em>Back to the Future</em> in London.</p><h2>Who wrote the <em>Back to the Future</em> musical?</h2><p>The <em>Back to the Future</em> film screenwriters, Bob Gale and Robert Zemeckis, who also directed the trilogy, co-created the musical. Gale contributed the show’s book alongside Glen Ballard and Alan Silvestri, who wrote original music and lyrics. John Rando directs the production, with choreography by Chris Bailey.</p><p>Tickets to <em>Back to the Future The Musical</em> are available now. Book your <em>Back to the Future The Musical</em> tickets on London Theatre today.</p></section></div></div></div>",14400,8
matilda.jpg,Matilda The Musical,Cambridge Theatre,"<h2>Matilda The Musical Information</h2><div><div><div></div><div><section><p>Will you dare to dream? Or will you be a little bit naughty? <em>Matilda the Musical</em> tickets are available on London Theatre now.</p><p>Adapted from the incomparable children's novel by Roald Dahl, the Royal Shakespeare Company’s <em>Matilda the Musical</em> proves that it pays to stand up for what you believe in.</p><p>The show will inspire audiences of all ages, as : “It’s very sophisticated and adult audiences get a kick out of following the story, because it's pretty nuanced. There's also a lot for children and younger people to enjoy. It's very vivid, and comic book in its storytelling.”</p><p>After opening at the RSC's home in Stratford-upon-Avon, the musical transferred to the West End's Cambridge Theatre. The show won seven Olivier Awards in 2012 — alongside <em>Hamilton</em> and <em>Cabaret</em>, it’s the biggest overall win of any London musical. Even though there’s a new musical film, there’s nothing like seeing <em>Matilda</em> in London live. There's ingenious staging by director Matthew Warchus, choreography by Peter Darling, exceptional scenic design, and an incredible cast of young performers.</p><h3>What is <em>Matilda the Musical</em> about?</h3><p>Meet Matilda Wormwood. She’s an extraordinary little girl who, armed with a vivid imagination, a sharp mind, and telekinetic powers, dares to take a stand and change her own destiny. When she faces Crunchem Hall headmistress Miss Trunchbull, she must challenge those above her for the greater good. Can Matilda, Miss Honey, and her classmates do the unthinkable and defeat Trunchbull? Watch them swing through the auditorium and revolt their way to a resolution.</p><h3>Who wrote <em>Matilda the Musical</em>?</h3><p>Roald Dahl's 1988 children's story of the same name informs the <em>Matilda</em> show. British screenwriter Dennis Kelly adapted <em>Matilda</em> for the stage, alongside Tim Minchin who provides a smart and witty original score, with songs including 'Revolting Children,' 'When I Grow Up,' and 'Naughty.'</p><p>Tickets to <em>Matilda the Musical</em> are available now. Book your <em>Matilda the Musical</em> tickets on London Theatre today.</p></section></div></div></div>",7200,9
crazy_for_you.jpg,Crazy For You,Gillian Lynne Theatre,"<h2>Crazy For You Information</h2><div><div><div></div><div><section><p>See the award-winning musical <em>Crazy for You</em> in London. Featuring beloved Gershwin songs, lively dance numbers, and a heartwarming story of love and redemption, this show is a must-see for musical theatre fans. Book <em>Crazy For You</em> tickets on London Theatre today.</p><p>Experience the magic of <em>Crazy For You</em> in this spectacular production, which sold out during its season at the Chichester Festival Theatre. Director and choreographer Susan Stroman returns to the show, after she conceived the original 1992 Broadway production. She has won numerous awards in her career, including five Tonys and two Oliviers for her outstanding work on shows such as <em>The Producers</em>, <em>Showboat</em>, <em>Oklahoma!</em>, and many more.</p><p>The critically acclaimed cast from Chichester Festival Theatre's production of <em>Crazy For You</em> are also transferring to the Gillian Lynne Theatre. Olivier Award nominee Charlie Stemp leads the cast as Bobby, with Carly Anderson as Polly. The pair originated the roles as the romantic duo in Chichester.</p><h2>What is <em>Crazy For You</em> about?</h2><p><em>Crazy for You</em> is a romantic musical comedy that follows the story of Bobby Child, a wealthy banker from New York who dreams of becoming a dancer. Bobby’s mother sends him off to Deadrock, Nevada to foreclose on a theatre’s mortgage, but instead falls in love with the owner's daughter, Polly Baker.</p><p>In an attempt to win her heart, he decides to put on a show at the theatre, and he encounters several obstacles along the way. However, the enthusiastic townspeople are eager to help him, and the show must go on.</p><p>The show features some of George and Ira Gershwin’s most memorable songs, including “I Got Rhythm,” “Nice Work If You Can Get It,” and “Someone To Watch Over Me.” This musical celebrates the power of music, love, and following your dreams.</p><p>Book tickets to <em>Crazy For You</em> in the West End on London Theatre today.</p></section></div></div></div>",10800,10
